type,run,attempts,successes,
combination0111,349,0,0,
combination0111,350,0,0,
combination0111,351,0,0,
combination0111,352,0,0,
combination0111,353,0,0,
combination0111,354,1,0,
combination0111,355,1,1,
combination0111,356,0,0,
combination0111,357,0,0,
combination0111,358,0,0,
combination0111,359,0,0,
combination0111,360,1,1,
combination0111,361,0,0,
combination0111,362,0,0,
combination0111,363,0,0,
combination0111,364,0,0,
combination0111,365,0,0,
combination0111,366,0,0,
combination0111,367,0,0,
combination0111,368,0,0,
combination0111,369,0,0,
combination0111,370,0,0,
combination0111,371,0,0,
combination0111,372,0,0,
combination0111,373,0,0,
combination0111,374,0,0,
combination0111,375,0,0,
combination0111,376,0,0,
combination0111,377,0,0,
combination0111,378,0,0,
combination0111,379,0,0,
combination0111,380,0,0,
combination0111,381,0,0,
combination0111,382,1,1,
combination0111,383,0,0,
combination0111,384,0,0,
combination0111,385,0,0,
combination0111,386,0,0,
combination0111,387,0,0,
combination0111,388,0,0,
combination0111,389,0,0,
combination0111,390,0,0,
combination0111,391,0,0,
combination0111,392,0,0,
combination0111,393,0,0,
combination0111,394,0,0,
combination0111,395,0,0,
combination0111,396,0,0,
combination0111,397,0,0,
combination0111,398,0,0,
combination0111,399,0,0,
combination0111,400,0,0,
combination0111,401,1,0,
combination0111,402,1,1,
combination0111,403,0,0,
combination0111,404,0,0,
combination0111,405,0,0,
combination0111,406,0,0,
combination0111,407,0,0,
combination0111,408,0,0,
combination0111,409,0,0,
combination0111,410,0,0,
combination0111,411,1,1,
combination0111,412,0,0,
combination0111,413,1,1,
combination0111,414,0,0,
combination0111,415,0,0,
combination0111,416,0,0,
combination0111,417,0,0,
combination0111,418,0,0,
combination0111,419,0,0,
combination0111,420,0,0,
combination0111,421,0,0,
combination0111,422,0,0,
combination0111,423,0,0,
combination0111,424,0,0,
combination0111,425,0,0,
combination0111,426,0,0,
combination0111,427,0,0,
combination0111,428,0,0,
combination0111,429,0,0,
combination0111,430,0,0,
combination0111,431,0,0,
combination0111,432,0,0,
combination0111,433,0,0,
combination0111,434,0,0,
combination0111,435,0,0,
combination0111,436,0,0,
combination0111,437,0,0,
combination0111,438,0,0,
combination0111,439,0,0,
combination0111,440,0,0,
combination0111,441,0,0,
combination0111,442,0,0,
combination0111,443,0,0,
combination0111,444,0,0,
combination0111,445,0,0,
combination0111,446,1,1,
combination0111,447,0,0,
combination0111,448,0,0,
combination0111,449,0,0,
combination0111,450,0,0,
combination0111,451,0,0,
combination0111,452,0,0,
combination0111,453,0,0,
combination0111,454,0,0,
combination0111,455,0,0,
combination0111,456,0,0,
combination0111,457,0,0,
combination0111,458,0,0,
combination0111,459,0,0,
combination0111,460,0,0,
combination0111,461,0,0,
combination0111,462,0,0,
combination0111,463,0,0,
combination0111,464,0,0,
combination0111,465,0,0,
combination0111,466,0,0,
combination0111,467,0,0,
combination0111,468,0,0,
combination0111,469,0,0,
combination0111,470,0,0,
combination0111,471,0,0,
combination0111,472,0,0,
combination0111,473,0,0,
combination0111,474,0,0,
combination0111,475,0,0,
combination0111,476,0,0,
combination0111,477,0,0,
combination0111,478,0,0,
combination0111,479,0,0,
combination0111,480,0,0,
combination0111,481,0,0,
combination0111,482,0,0,
combination0111,483,0,0,
combination0111,484,0,0,
combination0111,485,0,0,
combination0111,486,0,0,
combination0111,487,0,0,
combination0111,488,0,0,
combination0111,489,0,0,
combination0111,490,0,0,
combination0111,491,0,0,
combination0111,492,0,0,
combination0111,493,0,0,
combination0111,494,0,0,
combination0111,495,0,0,
combination0111,496,0,0,
combination0111,497,0,0,
combination0111,498,0,0,
combination0111,499,0,0,
combination0111,500,0,0,
combination0111,501,0,0,
combination0111,502,0,0,
combination0111,503,0,0,
combination0111,504,0,0,
combination0111,505,0,0,
combination0111,506,0,0,
combination0111,507,0,0,
combination0111,508,0,0,
combination0111,509,0,0,
combination0111,510,0,0,
combination0111,511,0,0,
combination0111,512,0,0,
combination0111,513,0,0,
combination0111,514,0,0,
combination0111,515,0,0,
combination0111,516,0,0,
combination0111,517,0,0,
combination0111,518,0,0,
combination0111,519,0,0,
combination0111,520,0,0,
combination0111,521,0,0,
combination0111,522,0,0,
combination0111,523,0,0,
combination0111,524,0,0,
combination0111,525,0,0,
combination0111,526,0,0,
combination0111,527,0,0,
combination0111,528,0,0,
combination0111,529,0,0,
combination0111,530,0,0,
combination0111,531,0,0,
combination0111,532,0,0,
combination0111,533,1,1,
combination0111,534,0,0,
combination0111,535,0,0,
combination0111,536,0,0,
combination0111,537,0,0,
combination0111,538,0,0,
combination0111,539,0,0,
combination0111,540,0,0,
combination0111,541,0,0,
combination0111,542,0,0,
combination0111,543,0,0,
combination0111,544,0,0,
combination0111,545,0,0,
combination0111,546,0,0,
combination0111,547,1,1,
combination0111,548,0,0,
combination0111,549,0,0,
combination0111,550,0,0,
combination0111,551,0,0,
combination0111,552,0,0,
combination0111,553,0,0,
combination0111,554,0,0,
combination0111,555,0,0,
combination0111,556,0,0,
combination0111,557,0,0,
combination0111,558,0,0,
combination0111,559,0,0,
combination0111,560,0,0,
combination0111,561,0,0,
combination0111,562,0,0,
combination0111,563,0,0,
combination0111,564,0,0,
combination0111,565,0,0,
combination0111,566,0,0,
combination0111,567,0,0,
combination0111,568,0,0,
combination0111,569,0,0,
combination0111,570,0,0,
combination0111,571,0,0,
combination0111,572,0,0,
combination0111,573,1,1,
combination0111,574,1,0,
combination0111,575,1,1,
combination0111,576,0,0,
combination0111,577,0,0,
combination0111,578,0,0,
combination0111,579,0,0,
combination0111,580,0,0,
combination0111,581,0,0,
combination0111,582,0,0,
combination0111,583,0,0,
combination0111,584,0,0,
combination0111,585,0,0,
combination0111,586,0,0,
combination0111,587,0,0,
combination0111,588,0,0,
combination0111,589,0,0,
combination0111,590,0,0,
combination0111,591,0,0,
combination0111,592,0,0,
combination0111,593,0,0,
combination0111,594,0,0,
combination0111,595,1,1,
combination0111,596,0,0,
combination0111,597,0,0,
combination0111,598,0,0,
combination0111,599,0,0,
combination0111,600,0,0,
combination0111,601,0,0,
combination0111,602,0,0,
combination0111,603,0,0,
combination0111,604,1,1,
combination0111,605,0,0,
combination0111,606,1,1,
combination0111,607,0,0,
combination0111,608,0,0,
combination0111,609,0,0,
combination0111,610,0,0,
combination0111,611,0,0,
combination0111,612,1,1,
combination0111,613,0,0,
combination0111,614,0,0,
combination0111,615,0,0,
combination0111,616,0,0,
combination0111,617,0,0,
combination0111,618,0,0,
combination0111,619,0,0,
combination0111,620,0,0,
combination0111,621,0,0,
combination0111,622,0,0,
combination0111,623,0,0,
combination0111,624,1,1,
combination0111,625,0,0,
combination0111,626,1,1,
combination0111,627,0,0,
combination0111,628,0,0,
combination0111,629,0,0,
combination0111,630,0,0,
combination0111,631,0,0,
combination0111,632,1,1,
combination0111,633,0,0,
combination0111,634,0,0,
combination0111,635,0,0,
combination0111,636,0,0,
combination0111,637,0,0,
combination0111,638,0,0,
combination0111,639,0,0,
combination0111,640,0,0,
combination0111,641,0,0,
combination0111,642,0,0,
combination0111,643,0,0,
combination0111,644,0,0,
combination0111,645,0,0,
combination0111,646,0,0,
combination0111,647,0,0,
combination0111,648,0,0,
combination0111,649,0,0,
combination0111,650,0,0,
