2016-10-17 17:55:56 -0700
17:55:56:0.048535: LittleFrame.log: I:100{A:70/70,U:10/10}
17:55:56:0.049536: LittleFrame.log: IN:{"food"=>200, "shelter"=>200, "health"=>20, "acquisition"=>40, "role"=>70, "audit"=>20, "equipment"=>180, "security"=>30, "data"=>160, "ojt"=>140, "professional"=>80, "formal"=>40}
17:55:56:0.083559: LittleFrame.log: administration33:{"food"=>1.6252561432736357, "shelter"=>1.6252561432736357, "health"=>0.1625256143273637, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.1625256143273637, "equipment"=>1.4627305289462722, "security"=>0.24378842149104551, "data"=>1.3002049146189096, "ojt"=>0.0, "professional"=>0.6501024573094548, "formal"=>0.0}
17:55:56:0.084559: LittleFrame.log: administration38:{"food"=>1.6252561432736359, "shelter"=>1.6252561432736359, "health"=>0.16252561432736368, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.16252561432736368, "equipment"=>1.4627305289462724, "security"=>0.24378842149104551, "data"=>1.3002049146189094, "ojt"=>0.0, "professional"=>0.6501024573094547, "formal"=>0.0}
17:55:56:0.084559: LittleFrame.log: technical43:{"food"=>1.6252561432736359, "shelter"=>1.6252561432736359, "health"=>0.16252561432736368, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.16252561432736368, "equipment"=>1.4627305289462724, "security"=>0.24378842149104551, "data"=>1.3002049146189094, "ojt"=>0.0, "professional"=>0.6501024573094547, "formal"=>0.0}
17:55:56:0.08556: LittleFrame.log: technical48:{"food"=>1.6252561432736359, "shelter"=>1.6252561432736359, "health"=>0.16252561432736365, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.16252561432736365, "equipment"=>1.4627305289462724, "security"=>0.24378842149104551, "data"=>1.3002049146189092, "ojt"=>0.0, "professional"=>0.6501024573094546, "formal"=>0.0}
17:55:56:0.08656: LittleFrame.log: technical53:{"food"=>1.625256143273636, "shelter"=>1.625256143273636, "health"=>0.16252561432736368, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.16252561432736368, "equipment"=>1.4627305289462726, "security"=>0.24378842149104554, "data"=>1.3002049146189094, "ojt"=>0.0, "professional"=>0.6501024573094547, "formal"=>0.0}
17:55:56:0.08756: LittleFrame.log: training58:{"food"=>1.625256143273636, "shelter"=>1.625256143273636, "health"=>0.1625256143273637, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.1625256143273637, "equipment"=>1.4627305289462726, "security"=>0.24378842149104554, "data"=>1.3002049146189096, "ojt"=>0.0, "professional"=>0.6501024573094548, "formal"=>0.0}
17:55:56:0.088561: LittleFrame.log: training63:{"food"=>1.625256143273636, "shelter"=>1.625256143273636, "health"=>0.16252561432736368, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.16252561432736368, "equipment"=>1.4627305289462729, "security"=>0.24378842149104554, "data"=>1.3002049146189094, "ojt"=>0.0, "professional"=>0.6501024573094547, "formal"=>0.0}
17:55:56:0.089561: LittleFrame.log: training68:{"food"=>1.6252561432736363, "shelter"=>1.6252561432736363, "health"=>0.16252561432736365, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.16252561432736365, "equipment"=>1.4627305289462729, "security"=>0.24378842149104554, "data"=>1.3002049146189092, "ojt"=>0.0, "professional"=>0.6501024573094546, "formal"=>0.0}
17:55:56:0.090562: LittleFrame.log: service4:{"food"=>1.3466408044267273, "shelter"=>1.3466408044267273, "health"=>0.13466408044267275, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.13466408044267275, "equipment"=>1.2119767239840549, "security"=>0.20199612066400918, "data"=>1.077312643541382, "ojt"=>0.0, "professional"=>0.538656321770691, "formal"=>0.0}
17:55:56:0.091564: LittleFrame.log: service14:{"food"=>1.3466408044267273, "shelter"=>1.3466408044267273, "health"=>0.13466408044267278, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.13466408044267278, "equipment"=>1.2119767239840549, "security"=>0.20199612066400918, "data"=>1.0773126435413822, "ojt"=>0.0, "professional"=>0.5386563217706911, "formal"=>0.0}
17:55:56:0.092563: LittleFrame.log: service24:{"food"=>1.3466408044267273, "shelter"=>1.3466408044267273, "health"=>0.13466408044267278, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.13466408044267278, "equipment"=>1.2119767239840549, "security"=>0.20199612066400915, "data"=>1.0773126435413822, "ojt"=>0.0, "professional"=>0.5386563217706911, "formal"=>0.0}
17:55:56:0.093564: LittleFrame.log: administration29:{"food"=>1.3466408044267273, "shelter"=>1.3466408044267273, "health"=>0.1346640804426728, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.1346640804426728, "equipment"=>1.2119767239840549, "security"=>0.20199612066400915, "data"=>1.0773126435413825, "ojt"=>0.0, "professional"=>0.5386563217706912, "formal"=>0.0}
17:55:56:0.09407: LittleFrame.log: administration34:{"food"=>1.3466408044267273, "shelter"=>1.3466408044267273, "health"=>0.1346640804426728, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.1346640804426728, "equipment"=>1.2119767239840549, "security"=>0.20199612066400915, "data"=>1.0773126435413825, "ojt"=>0.0, "professional"=>0.5386563217706912, "formal"=>0.0}
17:55:56:0.095071: LittleFrame.log: administration39:{"food"=>1.3466408044267273, "shelter"=>1.3466408044267273, "health"=>0.13466408044267283, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.13466408044267283, "equipment"=>1.211976723984055, "security"=>0.20199612066400913, "data"=>1.0773126435413827, "ojt"=>0.0, "professional"=>0.5386563217706913, "formal"=>0.0}
17:55:56:0.096071: LittleFrame.log: technical44:{"food"=>1.3466408044267273, "shelter"=>1.3466408044267273, "health"=>0.13466408044267283, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.13466408044267283, "equipment"=>1.211976723984055, "security"=>0.20199612066400913, "data"=>1.0773126435413827, "ojt"=>0.0, "professional"=>0.5386563217706913, "formal"=>0.0}
17:55:56:0.096572: LittleFrame.log: technical49:{"food"=>1.3466408044267273, "shelter"=>1.3466408044267273, "health"=>0.13466408044267283, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.13466408044267283, "equipment"=>1.211976723984055, "security"=>0.20199612066400913, "data"=>1.0773126435413827, "ojt"=>0.0, "professional"=>0.5386563217706913, "formal"=>0.0}
17:55:56:0.097572: LittleFrame.log: technical54:{"food"=>1.3466408044267273, "shelter"=>1.3466408044267273, "health"=>0.13466408044267286, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.13466408044267286, "equipment"=>1.2119767239840553, "security"=>0.2019961206640091, "data"=>1.077312643541383, "ojt"=>0.0, "professional"=>0.5386563217706914, "formal"=>0.0}
17:55:56:0.098573: LittleFrame.log: training59:{"food"=>1.3466408044267273, "shelter"=>1.3466408044267273, "health"=>0.13466408044267283, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.13466408044267283, "equipment"=>1.2119767239840553, "security"=>0.2019961206640091, "data"=>1.0773126435413827, "ojt"=>0.0, "professional"=>0.5386563217706913, "formal"=>0.0}
17:55:56:0.099574: LittleFrame.log: training64:{"food"=>1.3466408044267273, "shelter"=>1.3466408044267273, "health"=>0.13466408044267286, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.13466408044267286, "equipment"=>1.2119767239840553, "security"=>0.2019961206640091, "data"=>1.077312643541383, "ojt"=>0.0, "professional"=>0.5386563217706914, "formal"=>0.0}
17:55:56:0.100074: LittleFrame.log: training69:{"food"=>1.3466408044267273, "shelter"=>1.3466408044267273, "health"=>0.13466408044267286, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.13466408044267286, "equipment"=>1.2119767239840553, "security"=>0.20199612066400907, "data"=>1.077312643541383, "ojt"=>0.0, "professional"=>0.5386563217706914, "formal"=>0.0}
17:55:56:0.101075: LittleFrame.log: service5:{"food"=>1.1157880950964312, "shelter"=>1.1157880950964312, "health"=>0.11157880950964323, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.11157880950964323, "equipment"=>1.0042092855867888, "security"=>0.16736821426446466, "data"=>0.8926304760771459, "ojt"=>0.0, "professional"=>0.4463152380385729, "formal"=>0.0}
17:55:56:0.101575: LittleFrame.log: service15:{"food"=>1.1157880950964312, "shelter"=>1.1157880950964312, "health"=>0.11157880950964323, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.11157880950964323, "equipment"=>1.004209285586789, "security"=>0.16736821426446463, "data"=>0.8926304760771459, "ojt"=>0.0, "professional"=>0.4463152380385729, "formal"=>0.0}
17:55:56:0.102576: LittleFrame.log: service6:{"food"=>1.0839084352365331, "shelter"=>1.0839084352365331, "health"=>0.10839084352365343, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.10839084352365343, "equipment"=>0.9755175917128808, "security"=>0.16258626528547993, "data"=>0.8671267481892274, "ojt"=>0.0, "professional"=>0.4335633740946137, "formal"=>0.0}
17:55:56:0.103576: LittleFrame.log: service16:{"food"=>1.0839084352365331, "shelter"=>1.0839084352365331, "health"=>0.10839084352365343, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.10839084352365343, "equipment"=>0.9755175917128807, "security"=>0.16258626528547993, "data"=>0.8671267481892274, "ojt"=>0.0, "professional"=>0.4335633740946137, "formal"=>0.0}
17:55:56:0.104577: LittleFrame.log: service7:{"food"=>1.0529396228012036, "shelter"=>1.0529396228012036, "health"=>0.10529396228012047, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.10529396228012047, "equipment"=>0.947645660521084, "security"=>0.1579409434201805, "data"=>0.8423516982409638, "ojt"=>0.0, "professional"=>0.4211758491204819, "formal"=>0.0}
17:55:56:0.105578: LittleFrame.log: service17:{"food"=>1.0529396228012033, "shelter"=>1.0529396228012033, "health"=>0.10529396228012047, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.10529396228012047, "equipment"=>0.9476456605210839, "security"=>0.1579409434201805, "data"=>0.8423516982409638, "ojt"=>0.0, "professional"=>0.4211758491204819, "formal"=>0.0}
