type,run,food_needed,food_used,shelter_needed,shelter_used,health_needed,health_used,acquisition_needed,acquisition_used,role_needed,role_used,audit_needed,audit_used,equipment_needed,equipment_used,security_needed,security_used,data_needed,data_used,ojt_needed,ojt_used,professional_needed,professional_used,formal_needed,formal_used,
combination0111,550,275.3704523442577,275.3704523442577,202.6031043648468,202.6031043648468,131.2591694626437,131.2591694626437,2.8738392077133312,2.8738392077133312,0.0,0.0,316.87334098566294,316.87334098566294,271.3273930079546,271.3273930079546,129.88521052080142,129.88521052080142,288.1473186498475,288.1473186498475,0.0,0.0,152.34626360913217,152.34626360913217,1.7296030298408311,1.7296030298408311,
combination0111,551,276.3054575692753,276.3054575692753,205.0944646537106,205.0944646537106,132.57403648761664,132.57403648761664,2.8738392077133312,2.8738392077133312,0.0,0.0,324.7294811354435,324.7294811354435,272.8138553810232,272.8138553810232,129.7771626867781,129.7771626867781,290.35710232781065,290.35710232781065,0.0,0.0,152.626372949001,152.626372949001,1.7296030298408311,1.7296030298408311,
combination0111,552,277.37687470710495,277.37687470710495,207.21882805867128,207.21882805867128,133.00422436386688,133.00422436386688,2.8738392077133312,2.8738392077133312,0.0,0.0,325.8988736070988,325.8988736070988,273.8138553810232,273.8138553810232,130.46875526433774,130.46875526433774,293.1029511913242,293.1029511913242,0.0,0.0,152.62637294900088,152.62637294900088,0.0,0.0,
combination0111,553,280.9143774587614,280.9143774587614,209.54884280311828,209.54884280311828,133.91073432491,133.91073432491,2.8738392077133312,2.8738392077133312,0.0,0.0,329.0075328588292,329.0075328588292,279.16642575635444,279.16642575635444,133.04510927545743,133.04510927545743,295.6795871976922,295.6795871976922,0.0,0.0,153.90626418372796,153.90626418372796,1.7296030298408311,1.7296030298408311,
combination0111,554,276.49048583035506,276.49048583035506,208.6447714590144,208.6447714590144,134.8881432843066,134.8881432843066,2.8738392077133312,2.8738392077133312,0.0,0.0,332.6181271176105,332.6181271176105,277.4994332165412,277.4994332165412,131.48501871566336,131.48501871566336,292.4191931439987,292.4191931439987,0.0,0.0,154.76942501891796,154.76942501891796,1.7296030298408311,1.7296030298408311,
combination0111,555,279.3249749979459,279.3249749979459,210.1591139357349,210.1591139357349,135.62220585768648,135.62220585768648,2.8738392077133312,2.8738392077133312,0.0,0.0,335.8317560767228,335.8317560767228,279.6059312149934,279.6059312149934,133.37776359494148,133.37776359494148,294.22299599783514,294.22299599783514,0.0,0.0,155.88702510559938,155.88702510559938,1.7296030298408311,1.7296030298408311,
combination0111,556,280.46690637742904,280.46690637742904,211.15911393573487,211.15911393573487,135.86890225934502,135.86890225934502,2.8738392077133312,2.8738392077133312,0.0,0.0,337.94228406657555,337.94228406657555,282.01864187152177,282.01864187152177,134.28644976447364,134.28644976447364,295.22299599783514,295.22299599783514,0.0,0.0,158.62488397237615,158.62488397237615,0.0,0.0,
combination0111,557,283.34827887444754,283.34827887444754,212.15911393573487,212.15911393573487,136.7016039969834,136.7016039969834,2.8738392077133312,2.8738392077133312,0.0,0.0,340.98776453555104,340.98776453555104,284.7175674772222,284.7175674772222,135.8252933411227,135.8252933411227,296.24306367025434,296.24306367025434,0.0,0.0,158.62488397237615,158.62488397237615,1.7296030298408311,1.7296030298408311,
combination0111,558,276.94225724108674,276.94225724108674,208.58468795354983,208.58468795354983,137.20542157139803,137.20542157139803,2.8738392077133312,2.8738392077133312,0.0,0.0,338.9956491816383,338.9956491816383,281.35276161421564,281.35276161421564,131.62780159223712,131.62780159223712,289.23633008782423,289.23633008782423,0.0,0.0,155.48605040003935,155.48605040003935,1.7296030298408311,1.7296030298408311,
combination0111,559,280.7759884009688,280.7759884009688,210.51301390438468,210.51301390438468,137.6977671159483,137.6977671159483,2.8738392077133312,2.8738392077133312,0.0,0.0,342.26966793627264,342.26966793627264,282.35276161421564,282.35276161421564,133.27782618792483,133.27782618792483,292.8653074894006,292.8653074894006,0.0,0.0,155.48605040003935,155.48605040003935,1.7296030298408311,1.7296030298408311,
